Position,code,Geography,Treatment,vialnum,Sex,PLATE,cfuA,cfuL,repexp,exp,total,GT,starved,bigexp,GS,TS,TG,aperc,lperc
275,PA Choice M #3 275 reps,PA,Choice,PA Choice M #3 275 reps,M,N,2990081,141,PA Choice M #3 275 reps,rep4,2990222,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.999952846,4.72E-05
277,PA Control F #1 277 reps,PA,Control,PA Control F #1 277 reps,F,N,860161,1,PA Control F #1 277 reps,rep4,860162,PAControl,N,reps,PAF,ControlF,PAControl,0.999998837,1.16E-06
279,PA Control M #1 279 reps,PA,Control,PA Control M #1 279 reps,M,N,98561,841,PA Control M #1 279 reps,rep4,99402,PAControl,N,reps,PAM,ControlM,PAControl,0.991539406,0.008460594
281,PA Control F #2 281 reps,PA,Control,PA Control F #2 281 reps,F,N,2785281,61,PA Control F #2 281 reps,rep4,2785342,PAControl,N,reps,PAF,ControlF,PAControl,0.9999781,2.19E-05
283,PA Control M #2 283 reps,PA,Control,PA Control M #2 283 reps,M,N,1095681,141,PA Control M #2 283 reps,rep4,1095822,PAControl,N,reps,PAM,ControlM,PAControl,0.999871329,0.000128671
285,PA Control F #3 285 reps,PA,Control,PA Control F #3 285 reps,F,N,2048001,61,PA Control F #3 285 reps,rep4,2048062,PAControl,N,reps,PAF,ControlF,PAControl,0.999970216,2.98E-05
287,PA Control M #3 287 reps,PA,Control,PA Control M #3 287 reps,M,N,1024001,141,PA Control M #3 287 reps,rep4,1024142,PAControl,N,reps,PAM,ControlM,PAControl,0.999862324,0.000137676
289,F Choice F #1 289 reps,F,Choice,F Choice F #1 289 reps,F,N,71681,61,F Choice F #1 289 reps,rep5,71742,FChoice,N,reps,FF,ChoiceF,FChoice,0.999149731,0.000850269
291,F Choice M #1 291 reps,F,Choice,F Choice M #1 291 reps,M,N,84481,1761,F Choice M #1 291 reps,rep5,86242,FChoice,N,reps,FM,ChoiceM,FChoice,0.979580715,0.020419285
293,F Choice F #2 293 reps,F,Choice,F Choice F #2 293 reps,F,N,49921,181,F Choice F #2 293 reps,rep5,50102,FChoice,N,reps,FF,ChoiceF,FChoice,0.99638737,0.00361263
295,F Choice M #2 295 reps,F,Choice,F Choice M #2 295 reps,M,N,72961,101,F Choice M #2 295 reps,rep5,73062,FChoice,N,reps,FM,ChoiceM,FChoice,0.998617612,0.001382388
297,F Choice F #3 297 reps,F,Choice,F Choice F #3 297 reps,F,N,378881,161,F Choice F #3 297 reps,rep5,379042,FChoice,N,reps,FF,ChoiceF,FChoice,0.999575245,0.000424755
299,F Choice M #3 299 reps,F,Choice,F Choice M #3 299 reps,M,N,76801,81,F Choice M #3 299 reps,rep5,76882,FChoice,N,reps,FM,ChoiceM,FChoice,0.998946437,0.001053563
301,F Control F #1 301 reps,F,Control,F Control F #1 301 reps,F,N,337921,1,F Control F #1 301 reps,rep5,337922,FControl,N,reps,FF,ControlF,FControl,0.999997041,2.96E-06
303,F Control M #1 303 reps,F,Control,F Control M #1 303 reps,M,N,1310721,121,F Control M #1 303 reps,rep5,1310842,FControl,N,reps,FM,ControlM,FControl,0.999907693,9.23E-05
305,F Control F #2 305 reps,F,Control,F Control F #2 305 reps,F,N,686081,1,F Control F #2 305 reps,rep5,686082,FControl,N,reps,FF,ControlF,FControl,0.999998542,1.46E-06
307,F Control M #2 307 reps,F,Control,F Control M #2 307 reps,M,N,716801,41,F Control M #2 307 reps,rep5,716842,FControl,N,reps,FM,ControlM,FControl,0.999942805,5.72E-05
309,F Control F #3 309 reps,F,Control,F Control F #3 309 reps,F,N,706561,101,F Control F #3 309 reps,rep5,706662,FControl,N,reps,FF,ControlF,FControl,0.999857075,0.000142925
311,F Control M #3 311 reps,F,Control,F Control M #3 311 reps,M,N,512001,101,F Control M #3 311 reps,rep5,512102,FControl,N,reps,FM,ControlM,FControl,0.999802774,0.000197226
313,ME Choice F #1 313 reps,ME,Choice,ME Choice F #1 313 reps,F,N,69121,41,ME Choice F #1 313 reps,rep5,69162,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.999407189,0.000592811
315,ME Choice M #1 315 reps,ME,Choice,ME Choice M #1 315 reps,M,N,39681,221,ME Choice M #1 315 reps,rep5,39902,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.994461431,0.005538569
317,ME Choice F #2 317 reps,ME,Choice,ME Choice F #2 317 reps,F,N,34561,621,ME Choice F #2 317 reps,rep5,35182,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.982348928,0.017651072
319,ME Choice M #2 319 reps,ME,Choice,ME Choice M #2 319 reps,M,N,30081,1261,ME Choice M #2 319 reps,rep5,31342,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.959766448,0.040233552
321,ME Choice F #3 321 reps,ME,Choice,ME Choice F #3 321 reps,F,N,13921,321,ME Choice F #3 321 reps,rep5,14242,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.977461031,0.022538969
323,ME Choice M #3 323 reps,ME,Choice,ME Choice M #3 323 reps,M,N,15681,241,ME Choice M #3 323 reps,rep5,15922,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.984863711,0.015136289
325,ME Control F #1 325 reps,ME,Control,ME Control F #1 325 reps,F,N,450561,141,ME Control F #1 325 reps,rep5,450702,MEControl,N,reps,MEF,ControlF,MEControl,0.999687155,0.000312845
327,ME Control M #1 327 reps,ME,Control,ME Control M #1 327 reps,M,N,1146881,21,ME Control M #1 327 reps,rep5,1146902,MEControl,N,reps,MEM,ControlM,MEControl,0.99998169,1.83E-05
329,ME Control F #2 329 reps,ME,Control,ME Control F #2 329 reps,F,N,747521,81,ME Control F #2 329 reps,rep5,747602,MEControl,N,reps,MEF,ControlF,MEControl,0.999891654,0.000108346
331,ME Control M #2 331 reps,ME,Control,ME Control M #2 331 reps,M,N,337921,41,ME Control M #2 331 reps,rep5,337962,MEControl,N,reps,MEM,ControlM,MEControl,0.999878685,0.000121315
333,ME Control F #3 333 reps,ME,Control,ME Control F #3 333 reps,F,N,634881,1,ME Control F #3 333 reps,rep5,634882,MEControl,N,reps,MEF,ControlF,MEControl,0.999998425,1.58E-06
335,ME Control M #3 335 reps,ME,Control,ME Control M #3 335 reps,M,N,634881,1,ME Control M #3 335 reps,rep5,634882,MEControl,N,reps,MEM,ControlM,MEControl,0.999998425,1.58E-06
337,PA Choice F #1 337 reps,PA,Choice,PA Choice F #1 337 reps,F,N,716801,281,PA Choice F #1 337 reps,rep5,717082,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.999608134,0.000391866
339,PA Choice M #1 339 reps,PA,Choice,PA Choice M #1 339 reps,M,N,133121,161,PA Choice M #1 339 reps,rep5,133282,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.998792035,0.001207965
341,PA Choice F #2 341 reps,PA,Choice,PA Choice F #2 341 reps,F,N,706561,9601,PA Choice F #2 341 reps,rep5,716162,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.986593815,0.013406185
343,PA Choice M #2 343 reps,PA,Choice,PA Choice M #2 343 reps,M,N,399361,421,PA Choice M #2 343 reps,rep5,399782,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.998946926,0.001053074
345,PA Choice F #3 345 reps,PA,Choice,PA Choice F #3 345 reps,F,N,768001,3201,PA Choice F #3 345 reps,rep5,771202,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.995849336,0.004150664
347,PA Choice M #3 347 reps,PA,Choice,PA Choice M #3 347 reps,M,N,368641,41,PA Choice M #3 347 reps,rep5,368682,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.999888793,0.000111207
349,PA Control F #1 349 reps,PA,Control,PA Control F #1 349 reps,F,N,419841,121,PA Control F #1 349 reps,rep5,419962,PAControl,N,reps,PAF,ControlF,PAControl,0.999711879,0.000288121
351,PA Control M #1 351 reps,PA,Control,PA Control M #1 351 reps,M,N,276481,41,PA Control M #1 351 reps,rep5,276522,PAControl,N,reps,PAM,ControlM,PAControl,0.99985173,0.00014827
353,PA Control F #2 353 reps,PA,Control,PA Control F #2 353 reps,F,N,2048001,41,PA Control F #2 353 reps,rep5,2048042,PAControl,N,reps,PAF,ControlF,PAControl,0.999979981,2.00E-05
355,PA Control M #2 355 reps,PA,Control,PA Control M #2 355 reps,M,N,686081,841,PA Control M #2 355 reps,rep5,686922,PAControl,N,reps,PAM,ControlM,PAControl,0.998775698,0.001224302
357,PA Control F #3 357 reps,PA,Control,PA Control F #3 357 reps,F,N,716801,21,PA Control F #3 357 reps,rep5,716822,PAControl,N,reps,PAF,ControlF,PAControl,0.999970704,2.93E-05
359,PA Control M #3 359 reps,PA,Control,PA Control M #3 359 reps,M,N,942081,241,PA Control M #3 359 reps,rep5,942322,PAControl,N,reps,PAM,ControlM,PAControl,0.999744249,0.000255751
361,ME Choice F #1 361 reps,ME,Choice,ME Choice F #1 361 reps,F,N,819201,1601,ME Choice F #1 361 reps,rep6,820802,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.998049469,0.001950531
363,ME Choice M #1 363 reps,ME,Choice,ME Choice M #1 363 reps,M,N,8641,621,ME Choice M #1 363 reps,rep6,9262,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.932951846,0.067048154
369,ME Control F #1 369 reps,ME,Control,ME Control F #1 369 reps,F,N,256001,81,ME Control F #1 369 reps,rep6,256082,MEControl,N,reps,MEF,ControlF,MEControl,0.999683695,0.000316305
371,ME Control M #1 371 reps,ME,Control,ME Control M #1 371 reps,M,N,266241,161,ME Control M #1 371 reps,rep6,266402,MEControl,N,reps,MEM,ControlM,MEControl,0.99939565,0.00060435
373,ME Control F #2 373 reps,ME,Control,ME Control F #2 373 reps,F,N,808961,161,ME Control F #2 373 reps,rep6,809122,MEControl,N,reps,MEF,ControlF,MEControl,0.999801019,0.000198981
375,ME Control M #2 375 reps,ME,Control,ME Control M #2 375 reps,M,N,111361,41,ME Control M #2 375 reps,rep6,111402,MEControl,N,reps,MEM,ControlM,MEControl,0.999631964,0.000368036
377,F Choice F #1 377 reps,F,Choice,F Choice F #1 377 reps,F,N,66561,2081,F Choice F #1 377 reps,rep6,68642,FChoice,N,reps,FF,ChoiceF,FChoice,0.969683284,0.030316716
379,F Choice M #1 379 reps,F,Choice,F Choice M #1 379 reps,M,N,76801,641,F Choice M #1 379 reps,rep6,77442,FChoice,N,reps,FM,ChoiceM,FChoice,0.991722838,0.008277162
381,F Choice F #2 381 reps,F,Choice,F Choice F #2 381 reps,F,N,72961,1441,F Choice F #2 381 reps,rep6,74402,FChoice,N,reps,FF,ChoiceF,FChoice,0.980632241,0.019367759
383,F Choice M #2 383 reps,F,Choice,F Choice M #2 383 reps,M,N,81921,2241,F Choice M #2 383 reps,rep6,84162,FChoice,N,reps,FM,ChoiceM,FChoice,0.973372781,0.026627219
385,F Control F #1 385 reps,F,Control,F Control F #1 385 reps,F,N,64001,1,F Control F #1 385 reps,rep6,64002,FControl,N,reps,FF,ControlF,FControl,0.999984375,1.56E-05
387,F Control M #1 387 reps,F,Control,F Control M #1 387 reps,M,N,98561,21,F Control M #1 387 reps,rep6,98582,FControl,N,reps,FM,ControlM,FControl,0.999786979,0.000213021
389,F Control F #2 389 reps,F,Control,F Control F #2 389 reps,F,N,149761,1,F Control F #2 389 reps,rep6,149762,FControl,N,reps,FF,ControlF,FControl,0.999993323,6.68E-06
391,F Control M #2 391 reps,F,Control,F Control M #2 391 reps,M,N,51201,1,F Control M #2 391 reps,rep6,51202,FControl,N,reps,FM,ControlM,FControl,0.99998047,1.95E-05
393,PA Choice F #1 393 reps,PA,Choice,PA Choice F #1 393 reps,F,N,1351681,341,PA Choice F #1 393 reps,rep6,1352022,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.999747785,0.000252215
395,PA Choice M #1 395 reps,PA,Choice,PA Choice M #1 395 reps,M,N,122881,3041,PA Choice M #1 395 reps,rep6,125922,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.975850129,0.024149871
397,PA Choice F #2 397 reps,PA,Choice,PA Choice F #2 397 reps,F,N,1699841,6721,PA Choice F #2 397 reps,rep6,1706562,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.996061673,0.003938327
399,PA Choice M #2 399 reps,PA,Choice,PA Choice M #2 399 reps,M,N,99841,1401,PA Choice M #2 399 reps,rep6,101242,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.98616187,0.01383813
401,PA Control F #1 401 reps,PA,Control,PA Control F #1 401 reps,F,N,104961,81,PA Control F #1 401 reps,rep6,105042,PAControl,N,reps,PAF,ControlF,PAControl,0.99922888,0.00077112
403,PA Control M #1 403 reps,PA,Control,PA Control M #1 403 reps,M,N,166401,561,PA Control M #1 403 reps,rep6,166962,PAControl,N,reps,PAM,ControlM,PAControl,0.996639954,0.003360046
405,PA Control F #2 405 reps,PA,Control,PA Control F #2 405 reps,F,N,1310721,161,PA Control F #2 405 reps,rep6,1310882,PAControl,N,reps,PAF,ControlF,PAControl,0.999877182,0.000122818
407,PA Control M #2 407 reps,PA,Control,PA Control M #2 407 reps,M,N,153601,21,PA Control M #2 407 reps,rep6,153622,PAControl,N,reps,PAM,ControlM,PAControl,0.999863301,0.000136699
409,ME Choice F #1 409 reps,ME,Choice,ME Choice F #1 409 reps,F,N,450561,6401,ME Choice F #1 409 reps,rep7,456962,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.985992271,0.014007729
411,ME Choice M #1 411 reps,ME,Choice,ME Choice M #1 411 reps,M,N,99841,1121,ME Choice M #1 411 reps,rep7,100962,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.988896813,0.011103187
413,ME Choice F #2 413 reps,ME,Choice,ME Choice F #2 413 reps,F,N,138241,2241,ME Choice F #2 413 reps,rep7,140482,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.984047778,0.015952222
415,ME Choice M #2 415 reps,ME,Choice,ME Choice M #2 415 reps,M,N,481281,1281,ME Choice M #2 415 reps,rep7,482562,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.997345419,0.002654581
417,ME Control F #1 417 reps,ME,Control,ME Control F #1 417 reps,F,N,1372161,121,ME Control F #1 417 reps,rep7,1372282,MEControl,N,reps,MEF,ControlF,MEControl,0.999911826,8.82E-05
419,ME Control M #1 419 reps,ME,Control,ME Control M #1 419 reps,M,N,604161,1,ME Control M #1 419 reps,rep7,604162,MEControl,N,reps,MEM,ControlM,MEControl,0.999998345,1.66E-06
421,ME Control F #2 421 reps,ME,Control,ME Control F #2 421 reps,F,N,706561,221,ME Control F #2 421 reps,rep7,706782,MEControl,N,reps,MEF,ControlF,MEControl,0.999687315,0.000312685
423,ME Control M #2 423 reps,ME,Control,ME Control M #2 423 reps,M,N,245761,181,ME Control M #2 423 reps,rep7,245942,MEControl,N,reps,MEM,ControlM,MEControl,0.999264054,0.000735946
427,F Choice M #1 427 reps,F,Choice,F Choice M #1 427 reps,M,N,368641,2401,F Choice M #1 427 reps,rep7,371042,FChoice,N,reps,FM,ChoiceM,FChoice,0.993529034,0.006470966
429,F Choice F #2 429 reps,F,Choice,F Choice F #2 429 reps,F,N,88321,481,F Choice F #2 429 reps,rep7,88802,FChoice,N,reps,FF,ChoiceF,FChoice,0.994583455,0.005416545
431,F Choice M #2 431 reps,F,Choice,F Choice M #2 431 reps,M,N,69121,61,F Choice M #2 431 reps,rep7,69182,FChoice,N,reps,FM,ChoiceM,FChoice,0.999118268,0.000881732
433,F Control F #1 433 reps,F,Control,F Control F #1 433 reps,F,N,266241,341,F Control F #1 433 reps,rep7,266582,FControl,N,reps,FF,ControlF,FControl,0.998720844,0.001279156
435,F Control M #1 435 reps,F,Control,F Control M #1 435 reps,M,N,42241,21,F Control M #1 435 reps,rep7,42262,FControl,N,reps,FM,ControlM,FControl,0.9995031,0.0004969
437,F Control F #2 437 reps,F,Control,F Control F #2 437 reps,F,N,88321,61,F Control F #2 437 reps,rep7,88382,FControl,N,reps,FF,ControlF,FControl,0.999309814,0.000690186
439,F Control M #2 439 reps,F,Control,F Control M #2 439 reps,M,N,8641,1,F Control M #2 439 reps,rep7,8642,FControl,N,reps,FM,ControlM,FControl,0.999884286,0.000115714
441,PA Choice F #1 441 reps,PA,Choice,PA Choice F #1 441 reps,F,N,1013761,201,PA Choice F #1 441 reps,rep7,1013962,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.999801768,0.000198232
443,PA Choice M #1 443 reps,PA,Choice,PA Choice M #1 443 reps,M,N,1269761,401,PA Choice M #1 443 reps,rep7,1270162,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.999684292,0.000315708
445,PA Choice F #2 445 reps,PA,Choice,PA Choice F #2 445 reps,F,N,491521,19201,PA Choice F #2 445 reps,rep7,510722,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.962404204,0.037595796
447,PA Choice M #2 447 reps,PA,Choice,PA Choice M #2 447 reps,M,N,491521,3361,PA Choice M #2 447 reps,rep7,494882,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.993208482,0.006791518
453,PA Control F #2 453 reps,PA,Control,PA Control F #2 453 reps,F,N,655361,161,PA Control F #2 453 reps,rep7,655522,PAControl,N,reps,PAF,ControlF,PAControl,0.999754394,0.000245606
455,PA Control M #2 455 reps,PA,Control,PA Control M #2 455 reps,M,N,276481,421,PA Control M #2 455 reps,rep7,276902,PAControl,N,reps,PAM,ControlM,PAControl,0.998479607,0.001520393
457,ME Choice F #1 457 reps,ME,Choice,ME Choice F #1 457 reps,F,N,189441,281,ME Choice F #1 457 reps,rep8,189722,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.998518886,0.001481114
459,ME Choice M #1 459 reps,ME,Choice,ME Choice M #1 459 reps,M,N,296961,1601,ME Choice M #1 459 reps,rep8,298562,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.99463763,0.00536237
461,ME Choice F #2 461 reps,ME,Choice,ME Choice F #2 461 reps,F,N,69121,741,ME Choice F #2 461 reps,rep8,69862,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.989393376,0.010606624
463,ME Choice M #2 463 reps,ME,Choice,ME Choice M #2 463 reps,M,N,245761,181,ME Choice M #2 463 reps,rep8,245942,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.999264054,0.000735946
465,ME Choice F #3 465 reps,ME,Choice,ME Choice F #3 465 reps,F,N,64001,221,ME Choice F #3 465 reps,rep8,64222,MEChoice,N,reps,MEF,ChoiceF,MEChoice,0.996558812,0.003441188
467,ME Choice M #3 467 reps,ME,Choice,ME Choice M #3 467 reps,M,N,49921,61,ME Choice M #3 467 reps,rep8,49982,MEChoice,N,reps,MEM,ChoiceM,MEChoice,0.998779561,0.001220439
473,ME Control F #2 473 reps,ME,Control,ME Control F #2 473 reps,F,N,675841,681,ME Control F #2 473 reps,rep8,676522,MEControl,N,reps,MEF,ControlF,MEControl,0.998993381,0.001006619
475,ME Control M #2 475 reps,ME,Control,ME Control M #2 475 reps,M,N,409601,621,ME Control M #2 475 reps,rep8,410222,MEControl,N,reps,MEM,ControlM,MEControl,0.998486186,0.001513814
477,ME Control F #3 477 reps,ME,Control,ME Control F #3 477 reps,F,N,757761,481,ME Control F #3 477 reps,rep8,758242,MEControl,N,reps,MEF,ControlF,MEControl,0.999365638,0.000634362
479,ME Control M #3 479 reps,ME,Control,ME Control M #3 479 reps,M,N,276481,941,ME Control M #3 479 reps,rep8,277422,MEControl,N,reps,MEM,ControlM,MEControl,0.996608056,0.003391944
485,F Choice F #2 485 reps,F,Choice,F Choice F #2 485 reps,F,N,327681,1,F Choice F #2 485 reps,rep8,327682,FChoice,N,reps,FF,ChoiceF,FChoice,0.999996948,3.05E-06
487,F Choice M #2 487 reps,F,Choice,F Choice M #2 487 reps,M,N,75521,81,F Choice M #2 487 reps,rep8,75602,FChoice,N,reps,FM,ChoiceM,FChoice,0.9989286,0.0010714
489,F Choice F #3 489 reps,F,Choice,F Choice F #3 489 reps,F,N,614401,41,F Choice F #3 489 reps,rep8,614442,FChoice,N,reps,FF,ChoiceF,FChoice,0.999933273,6.67E-05
491,F Choice M #3 491 reps,F,Choice,F Choice M #3 491 reps,M,N,78081,801,F Choice M #3 491 reps,rep8,78882,FChoice,N,reps,FM,ChoiceM,FChoice,0.989845592,0.010154408
493,F Control F #1 493 reps,F,Control,F Control F #1 493 reps,F,N,542721,161,F Control F #1 493 reps,rep8,542882,FControl,N,reps,FF,ControlF,FControl,0.999703435,0.000296565
495,F Control M #1 495 reps,F,Control,F Control M #1 495 reps,M,N,266241,161,F Control M #1 495 reps,rep8,266402,FControl,N,reps,FM,ControlM,FControl,0.99939565,0.00060435
497,F Control F #2 497 reps,F,Control,F Control F #2 497 reps,F,N,194561,1,F Control F #2 497 reps,rep8,194562,FControl,N,reps,FF,ControlF,FControl,0.99999486,5.14E-06
499,F Control M #2 499 reps,F,Control,F Control M #2 499 reps,M,N,296961,61,F Control M #2 499 reps,rep8,297022,FControl,N,reps,FM,ControlM,FControl,0.999794628,0.000205372
501,F Control F #3 501 reps,F,Control,F Control F #3 501 reps,F,N,46081,21,F Control F #3 501 reps,rep8,46102,FControl,N,reps,FF,ControlF,FControl,0.999544488,0.000455512
503,F Control M #3 503 reps,F,Control,F Control M #3 503 reps,M,N,75521,1,F Control M #3 503 reps,rep8,75522,FControl,N,reps,FM,ControlM,FControl,0.999986759,1.32E-05
505,PA Choice F #1 505 reps,PA,Choice,PA Choice F #1 505 reps,F,N,593921,341,PA Choice F #1 505 reps,rep8,594262,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.999426179,0.000573821
507,PA Choice M #1 507 reps,PA,Choice,PA Choice M #1 507 reps,M,N,337921,501,PA Choice M #1 507 reps,rep8,338422,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.9985196,0.0014804
509,PA Choice F #2 509 reps,PA,Choice,PA Choice F #2 509 reps,F,N,225281,3521,PA Choice F #2 509 reps,rep8,228802,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.984611149,0.015388851
511,PA Choice M #2 511 reps,PA,Choice,PA Choice M #2 511 reps,M,N,645121,3201,PA Choice M #2 511 reps,rep8,648322,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.995062639,0.004937361
513,PA Choice F #3 513 reps,PA,Choice,PA Choice F #3 513 reps,F,N,1474561,421,PA Choice F #3 513 reps,rep8,1474982,PAChoice,N,reps,PAF,ChoiceF,PAChoice,0.999714573,0.000285427
515,PA Choice M #3 515 reps,PA,Choice,PA Choice M #3 515 reps,M,N,1351681,741,PA Choice M #3 515 reps,rep8,1352422,PAChoice,N,reps,PAM,ChoiceM,PAChoice,0.999452094,0.000547906
517,PA Control F #1 517 reps,PA,Control,PA Control F #1 517 reps,F,N,563201,161,PA Control F #1 517 reps,rep8,563362,PAControl,N,reps,PAF,ControlF,PAControl,0.999714216,0.000285784
519,PA Control M #1 519 reps,PA,Control,PA Control M #1 519 reps,M,N,450561,1281,PA Control M #1 519 reps,rep8,451842,PAControl,N,reps,PAM,ControlM,PAControl,0.997164938,0.002835062
521,PA Control F #2 521 reps,PA,Control,PA Control F #2 521 reps,F,N,1392641,161,PA Control F #2 521 reps,rep8,1392802,PAControl,N,reps,PAF,ControlF,PAControl,0.999884406,0.000115594
523,PA Control M #2 523 reps,PA,Control,PA Control M #2 523 reps,M,N,624641,361,PA Control M #2 523 reps,rep8,625002,PAControl,N,reps,PAM,ControlM,PAControl,0.999422402,0.000577598
525,PA Control F #3 525 reps,PA,Control,PA Control F #3 525 reps,F,N,839681,421,PA Control F #3 525 reps,rep8,840102,PAControl,N,reps,PAF,ControlF,PAControl,0.99949887,0.00050113
527,PA Control M #3 527 reps,PA,Control,PA Control M #3 527 reps,M,N,368641,621,PA Control M #3 527 reps,rep8,369262,PAControl,N,reps,PAM,ControlM,PAControl,0.998318267,0.001681733
1,B Choice F #1 1 caro,B,Choice,B Choice F #1 1 caro,F,N,2795520,180,B Choice F #1 1 caro,carorep1,2795700,BChoice,N,Caro,BF,ChoiceF,BChoice,0.999935615,6.44E-05
3,B Choice M #1 3 caro,B,Choice,B Choice M #1 3 caro,M,N,1157120,17920,B Choice M #1 3 caro,carorep1,1175040,BChoice,N,Caro,BM,ChoiceM,BChoice,0.984749455,0.015250545
5,B Choice F #2 5 caro,B,Choice,B Choice F #2 5 caro,F,N,1340,340,B Choice F #2 5 caro,carorep1,1680,BChoice,N,Caro,BF,ChoiceF,BChoice,0.797619048,0.202380952
9,B Choice F #3 9 caro,B,Choice,B Choice F #3 9 caro,F,N,2304000,2080,B Choice F #3 9 caro,carorep1,2306080,BChoice,N,Caro,BF,ChoiceF,BChoice,0.999098036,0.000901964
11,B Choice M #3 11 caro,B,Choice,B Choice M #3 11 caro,M,N,727040,6720,B Choice M #3 11 caro,carorep1,733760,BChoice,N,Caro,BM,ChoiceM,BChoice,0.990841692,0.009158308
13,B Control F #1 13 caro,B,Control,B Control F #1 13 caro,F,N,2580480,420,B Control F #1 13 caro,carorep1,2580900,BControl,N,Caro,BF,ControlF,BControl,0.999837266,0.000162734
15,B Control M #1 15 caro,B,Control,B Control M #1 15 caro,M,N,412160,80,B Control M #1 15 caro,carorep1,412240,BControl,N,Caro,BM,ControlM,BControl,0.999805938,0.000194062
17,B Control F #2 17 caro,B,Control,B Control F #2 17 caro,F,N,2150400,560,B Control F #2 17 caro,carorep1,2150960,BControl,N,Caro,BF,ControlF,BControl,0.999739651,0.000260349
19,B Control M #2 19 caro,B,Control,B Control M #2 19 caro,M,N,185600,500,B Control M #2 19 caro,carorep1,186100,BControl,N,Caro,BM,ControlM,BControl,0.997313272,0.002686728
21,B Control F #3 21 caro,B,Control,B Control F #3 21 caro,F,N,5120000,200,B Control F #3 21 caro,carorep1,5120200,BControl,N,Caro,BF,ControlF,BControl,0.999960939,3.91E-05
23,B Control M #3 23 caro,B,Control,B Control M #3 23 caro,M,N,430080,280,B Control M #3 23 caro,carorep1,430360,BControl,N,Caro,BM,ControlM,BControl,0.999349382,0.000650618
25,L Choice F #1 25 caro,L,Choice,L Choice F #1 25 caro,F,N,1751040,340,L Choice F #1 25 caro,carorep1,1751380,LChoice,N,Caro,LF,ChoiceF,LChoice,0.999805867,0.000194133
27,L Choice M #1 27 caro,L,Choice,L Choice M #1 27 caro,M,N,88320,240,L Choice M #1 27 caro,carorep1,88560,LChoice,N,Caro,LM,ChoiceM,LChoice,0.997289973,0.002710027
29,L Choice F #2 29 caro,L,Choice,L Choice F #2 29 caro,F,N,3809280,3680,L Choice F #2 29 caro,carorep1,3812960,LChoice,N,Caro,LF,ChoiceF,LChoice,0.999034871,0.000965129
31,L Choice M #2 31 caro,L,Choice,L Choice M #2 31 caro,M,N,675840,140,L Choice M #2 31 caro,carorep1,675980,LChoice,N,Caro,LM,ChoiceM,LChoice,0.999792893,0.000207107
33,L Choice F #3 33 caro,L,Choice,L Choice F #3 33 caro,F,N,1617920,740,L Choice F #3 33 caro,carorep1,1618660,LChoice,N,Caro,LF,ChoiceF,LChoice,0.999542832,0.000457168
35,L Choice M #3 35 caro,L,Choice,L Choice M #3 35 caro,M,N,317440,1560,L Choice M #3 35 caro,carorep1,319000,LChoice,N,Caro,LM,ChoiceM,LChoice,0.995109718,0.004890282
37,L Control F #1 37 caro,L,Control,L Control F #1 37 caro,F,N,3768320,620,L Control F #1 37 caro,carorep1,3768940,LControl,N,Caro,LF,ControlF,LControl,0.999835498,0.000164502
39,L Control M #1 39 caro,L,Control,L Control M #1 39 caro,M,N,737280,3040,L Control M #1 39 caro,carorep1,740320,LControl,N,Caro,LM,ControlM,LControl,0.995893668,0.004106332
