code,Sex,Treatment,Bacteria,type,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Side
NA CON 239 diet A NA,NA,CON,Acetobacter,diet,A,4070400,2300,4072700,NACON,NACON,239,NA CON 239 diet A NA,NA
NA CON 241 diet A NA,NA,CON,Acetobacter,diet,A,7937280,4200,7941480,NACON,NACON,241,NA CON 241 diet A NA,NA
NA CON 243 diet A NA,NA,CON,Acetobacter,diet,A,1628160,4100,1632260,NACON,NACON,243,NA CON 243 diet A NA,NA
NA CON 246 diet A NA,NA,CON,Acetobacter,diet,A,5698560,3125,5701685,NACON,NACON,246,NA CON 246 diet A NA,NA
NA CON 248 diet A NA,NA,CON,Acetobacter,diet,A,3256320,3300,3259620,NACON,NACON,248,NA CON 248 diet A NA,NA
NA CON 250 diet A NA,NA,CON,Acetobacter,diet,A,1831680,3000,1834680,NACON,NACON,250,NA CON 250 diet A NA,NA
NA CON 252 diet A NA,NA,CON,Acetobacter,diet,A,32563200,3700,32566900,NACON,NACON,252,NA CON 252 diet A NA,NA
NA CON 254 diet A NA,NA,CON,Acetobacter,diet,A,2035200,2500,2037700,NACON,NACON,254,NA CON 254 diet A NA,NA
NA CON 256 diet A NA,NA,CON,Acetobacter,diet,A,2442240,3800,2446040,NACON,NACON,256,NA CON 256 diet A NA,NA
NA CON 258 diet A NA,NA,CON,Acetobacter,diet,A,11397120,3700,11400820,NACON,NACON,258,NA CON 258 diet A NA,NA
NA CON 260 diet A NA,NA,CON,Acetobacter,diet,A,29306880,3200,29310080,NACON,NACON,260,NA CON 260 diet A NA,NA
NA CON 262 diet A NA,NA,CON,Acetobacter,diet,A,4477440,2525,4479965,NACON,NACON,262,NA CON 262 diet A NA,NA
NA CH 264 diet A A,NA,CH,Acetobacter,diet,A,50880,250,51130,NACH,NACH,264,NA CH 264 diet A A,A
NA CH 266 diet A A,NA,CH,Acetobacter,diet,A,47700,800,48500,NACH,NACH,266,NA CH 266 diet A A,A
NA CH 268 diet A A,NA,CH,Acetobacter,diet,A,9540,550,10090,NACH,NACH,268,NA CH 268 diet A A,A
NA CH 270 diet A L,NA,CH,Acetobacter,diet,A,1225,3100,4325,NACH,NACH,270,NA CH 270 diet A L,L
