,code,Sex,Treatment,Bacteria,type,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Side
84,NA CON 182 diet A NA,NA,CON,Acetobacter,diet,A,5495040,0,5495040,NACON,NACON,182,NA CON 182 diet A NA,NA
85,NA CON 185 diet A NA,NA,CON,Acetobacter,diet,A,53729280,400,53729680,NACON,NACON,185,NA CON 185 diet A NA,NA
86,NA CON 188 diet A NA,NA,CON,Acetobacter,diet,A,3052800,300,3053100,NACON,NACON,188,NA CON 188 diet A NA,NA
87,NA CON 190 diet A NA,NA,CON,Acetobacter,diet,A,3663360,975,3664335,NACON,NACON,190,NA CON 190 diet A NA,NA
88,NA CON 193 diet A NA,NA,CON,Acetobacter,diet,A,5291520,425,5291945,NACON,NACON,193,NA CON 193 diet A NA,NA
89,NA CON 195 diet A NA,NA,CON,Acetobacter,diet,A,3663360,325,3663685,NACON,NACON,195,NA CON 195 diet A NA,NA
90,NA CON 198 diet A NA,NA,CON,Acetobacter,diet,A,5291520,375,5291895,NACON,NACON,198,NA CON 198 diet A NA,NA
91,NA CON 200 diet A NA,NA,CON,Acetobacter,diet,A,52101120,0,52101120,NACON,NACON,200,NA CON 200 diet A NA,NA
92,NA CON 202 diet A NA,NA,CON,Acetobacter,diet,A,156303360,0,156303360,NACON,NACON,202,NA CON 202 diet A NA,NA
93,NA CON 204 diet A NA,NA,CON,Acetobacter,diet,A,100945920,0,100945920,NACON,NACON,204,NA CON 204 diet A NA,NA
94,NA CON 206 diet A NA,NA,CON,Acetobacter,diet,A,109086720,0,109086720,NACON,NACON,206,NA CON 206 diet A NA,NA
95,NA CON 208 diet A NA,NA,CON,Acetobacter,diet,A,151418880,0,151418880,NACON,NACON,208,NA CON 208 diet A NA,NA
96,NA CON 211 diet A NA,NA,CON,Acetobacter,diet,A,56985600,400,56986000,NACON,NACON,211,NA CON 211 diet A NA,NA
97,NA CON 213 diet A NA,NA,CON,Acetobacter,diet,A,7530240,275,7530515,NACON,NACON,213,NA CON 213 diet A NA,NA
98,NA CON 215 diet A NA,NA,CON,Acetobacter,diet,A,7123200,225,7123425,NACON,NACON,215,NA CON 215 diet A NA,NA
99,NA CON 217 diet A NA,NA,CON,Acetobacter,diet,A,24422400,275,24422675,NACON,NACON,217,NA CON 217 diet A NA,NA
100,NA CON 219 diet A NA,NA,CON,Acetobacter,diet,A,4680960,100,4681060,NACON,NACON,219,NA CON 219 diet A NA,NA
101,NA CON 223 diet A NA,NA,CON,Acetobacter,diet,A,299581440,0,299581440,NACON,NACON,223,NA CON 223 diet A NA,NA
102,NA CON 226 diet A NA,NA,CON,Acetobacter,diet,A,117227520,0,117227520,NACON,NACON,226,NA CON 226 diet A NA,NA
103,NA CON 228 diet A NA,NA,CON,Acetobacter,diet,A,128624640,0,128624640,NACON,NACON,228,NA CON 228 diet A NA,NA
104,NA CON 230 diet A NA,NA,CON,Acetobacter,diet,A,102574080,25,102574105,NACON,NACON,230,NA CON 230 diet A NA,NA
105,NA CON 232 diet A NA,NA,CON,Acetobacter,diet,A,120483840,0,120483840,NACON,NACON,232,NA CON 232 diet A NA,NA
106,NA CON 234 diet A NA,NA,CON,Acetobacter,diet,A,115599360,0,115599360,NACON,NACON,234,NA CON 234 diet A NA,NA
107,NA CON 236 diet A NA,NA,CON,Acetobacter,diet,A,260505600,0,260505600,NACON,NACON,236,NA CON 236 diet A NA,NA
108,NA CON 238 diet A NA,NA,CON,Acetobacter,diet,A,244224000,0,244224000,NACON,NACON,238,NA CON 238 diet A NA,NA
109,NA CON 240 diet A NA,NA,CON,Acetobacter,diet,A,227942400,0,227942400,NACON,NACON,240,NA CON 240 diet A NA,NA
110,NA CON 242 diet A NA,NA,CON,Acetobacter,diet,A,47216640,275,47216915,NACON,NACON,242,NA CON 242 diet A NA,NA
111,NA CON 244 diet A NA,NA,CON,Acetobacter,diet,A,56985600,225,56985825,NACON,NACON,244,NA CON 244 diet A NA,NA
112,NA CON 246 diet A NA,NA,CON,Acetobacter,diet,A,53729280,75,53729355,NACON,NACON,246,NA CON 246 diet A NA,NA
113,NA CON 248 diet A NA,NA,CON,Acetobacter,diet,A,35819520,0,35819520,NACON,NACON,248,NA CON 248 diet A NA,NA
114,NA CON 250 diet A NA,NA,CON,Acetobacter,diet,A,19537920,150,19538070,NACON,NACON,250,NA CON 250 diet A NA,NA
115,NA CON 252 diet A NA,NA,CON,Acetobacter,diet,A,139920,125,140045,NACON,NACON,252,NA CON 252 diet A NA,NA
116,NA CON 254 diet A NA,NA,CON,Acetobacter,diet,A,127200,0,127200,NACON,NACON,254,NA CON 254 diet A NA,NA
117,NA CH 256 diet A A,NA,CH,Acetobacter,diet,A,114480,250,114730,NACH,NACH,256,NA CH 256 diet A A,A
118,NA CH 258 diet A A,NA,CH,Acetobacter,diet,A,814080,75,814155,NACH,NACH,258,NA CH 258 diet A A,A
119,NA CH 260 diet A A,NA,CH,Acetobacter,diet,A,108120,50,108170,NACH,NACH,260,NA CH 260 diet A A,A
120,NA CH 262 diet A L,NA,CH,Acetobacter,diet,A,54060,325,54385,NACH,NACH,262,NA CH 262 diet A L,L
121,NA CH 264 diet A L,NA,CH,Acetobacter,diet,A,375,200,575,NACH,NACH,264,NA CH 264 diet A L,L
122,NA CH 266 diet A L,NA,CH,Acetobacter,diet,A,9540,200,9740,NACH,NACH,266,NA CH 266 diet A L,L
123,NA CH 268 diet A A,NA,CH,Acetobacter,diet,A,407040,125,407165,NACH,NACH,268,NA CH 268 diet A A,A
