,code,TimePoint,Treatment,Sex,Bacteria,type,exp,cfuA,cfuL,total,stg,GT,SortOrder,repexp,Bottle
743,8hours CH A 1649 diet B 3,8hours,CH,A,Acetobacter,diet,B,112343040,25,112343065,CH8hoursA,8hoursCH,1649,8hours CH A 1649 diet B 3,3
744,8hours CH A 1651 diet B 3,8hours,CH,A,Acetobacter,diet,B,73267200,1424640,74691840,CH8hoursA,8hoursCH,1651,8hours CH A 1651 diet B 3,3
745,8hours CH L 1653 diet B 3,8hours,CH,L,Acetobacter,diet,B,9540,814080,823620,CH8hoursL,8hoursCH,1653,8hours CH L 1653 diet B 3,3
746,8hours CH L 1655 diet B 3,8hours,CH,L,Acetobacter,diet,B,25440,407040,432480,CH8hoursL,8hoursCH,1655,8hours CH L 1655 diet B 3,3
747,8hours CON NA 1659 diet B 1,8hours,CON,NA,Acetobacter,diet,B,109086720,350,109087070,CON8hoursNA,8hoursCON,1659,8hours CON NA 1659 diet B 1,1
748,8hours CON NA 1662 diet B 1,8hours,CON,NA,Acetobacter,diet,B,40704000,50,40704050,CON8hoursNA,8hoursCON,1662,8hours CON NA 1662 diet B 1,1
749,8hours CON NA 1664 diet B 1,8hours,CON,NA,Acetobacter,diet,B,63498240,25,63498265,CON8hoursNA,8hoursCON,1664,8hours CON NA 1664 diet B 1,1
750,8hours CON NA 1668 diet B 1,8hours,CON,NA,Acetobacter,diet,B,13025280,25,13025305,CON8hoursNA,8hoursCON,1668,8hours CON NA 1668 diet B 1,1
751,8hours CON NA 1674 diet B 2,8hours,CON,NA,Acetobacter,diet,B,70010880,125,70011005,CON8hoursNA,8hoursCON,1674,8hours CON NA 1674 diet B 2,2
752,8hours CON NA 1678 diet B 2,8hours,CON,NA,Acetobacter,diet,B,92805120,100,92805220,CON8hoursNA,8hoursCON,1678,8hours CON NA 1678 diet B 2,2
753,8hours CON NA 1680 diet B 2,8hours,CON,NA,Acetobacter,diet,B,71639040,25,71639065,CON8hoursNA,8hoursCON,1680,8hours CON NA 1680 diet B 2,2
754,8hours CON NA 1686 diet B 3,8hours,CON,NA,Acetobacter,diet,B,58613760,175,58613935,CON8hoursNA,8hoursCON,1686,8hours CON NA 1686 diet B 3,3
755,24hours CH A 1692 diet B 1,24hours,CH,A,Acetobacter,diet,B,17909760,34980,17944740,CH24hoursA,24hoursCH,1692,24hours CH A 1692 diet B 1,1
756,24hours CH A 1694 diet B 1,24hours,CH,A,Acetobacter,diet,B,30935040,50880,30985920,CH24hoursA,24hoursCH,1694,24hours CH A 1694 diet B 1,1
757,24hours CH A 1696 diet B 1,24hours,CH,A,Acetobacter,diet,B,29306880,22260,29329140,CH24hoursA,24hoursCH,1696,24hours CH A 1696 diet B 1,1
758,24hours CH L 1698 diet B 1,24hours,CH,L,Acetobacter,diet,B,34191360,85860,34277220,CH24hoursL,24hoursCH,1698,24hours CH L 1698 diet B 1,1
759,24hours CH L 1700 diet B 1,24hours,CH,L,Acetobacter,diet,B,8140800,139920,8280720,CH24hoursL,24hoursCH,1700,24hours CH L 1700 diet B 1,1
760,24hours CH L 1702 diet B 1,24hours,CH,L,Acetobacter,diet,B,8140800,44520,8185320,CH24hoursL,24hoursCH,1702,24hours CH L 1702 diet B 1,1
761,24hours CH A 1704 diet B 2,24hours,CH,A,Acetobacter,diet,B,53729280,575,53729855,CH24hoursA,24hoursCH,1704,24hours CH A 1704 diet B 2,2
762,24hours CH A 1706 diet B 2,24hours,CH,A,Acetobacter,diet,B,40704000,0,40704000,CH24hoursA,24hoursCH,1706,24hours CH A 1706 diet B 2,2
763,24hours CH A 1708 diet B 2,24hours,CH,A,Acetobacter,diet,B,45588480,50880,45639360,CH24hoursA,24hoursCH,1708,24hours CH A 1708 diet B 2,2
764,24hours CH L 1710 diet B 2,24hours,CH,L,Acetobacter,diet,B,32563200,44520,32607720,CH24hoursL,24hoursCH,1710,24hours CH L 1710 diet B 2,2
765,24hours CH L 1712 diet B 2,24hours,CH,L,Acetobacter,diet,B,27678720,4884480,32563200,CH24hoursL,24hoursCH,1712,24hours CH L 1712 diet B 2,2
766,24hours CH L 1714 diet B 2,24hours,CH,L,Acetobacter,diet,B,53729280,38160,53767440,CH24hoursL,24hoursCH,1714,24hours CH L 1714 diet B 2,2
767,24hours CH A 1716 diet B 3,24hours,CH,A,Acetobacter,diet,B,3663360,0,3663360,CH24hoursA,24hoursCH,1716,24hours CH A 1716 diet B 3,3
768,24hours CH A 1718 diet B 3,24hours,CH,A,Acetobacter,diet,B,4070400,0,4070400,CH24hoursA,24hoursCH,1718,24hours CH A 1718 diet B 3,3
769,24hours CH A 1720 diet B 3,24hours,CH,A,Acetobacter,diet,B,16281600,0,16281600,CH24hoursA,24hoursCH,1720,24hours CH A 1720 diet B 3,3
770,24hours CH L 1722 diet B 3,24hours,CH,L,Acetobacter,diet,B,407040,82680,489720,CH24hoursL,24hoursCH,1722,24hours CH L 1722 diet B 3,3
771,24hours CH L 1724 diet B 3,24hours,CH,L,Acetobacter,diet,B,171720,54060,225780,CH24hoursL,24hoursCH,1724,24hours CH L 1724 diet B 3,3
772,24hours CH L 1726 diet B 3,24hours,CH,L,Acetobacter,diet,B,73140,89040,162180,CH24hoursL,24hoursCH,1726,24hours CH L 1726 diet B 3,3
773,24hours CON NA 1728 diet B 1,24hours,CON,NA,Acetobacter,diet,B,52101120,0,52101120,CON24hoursNA,24hoursCON,1728,24hours CON NA 1728 diet B 1,1
774,24hours CON NA 1730 diet B 1,24hours,CON,NA,Acetobacter,diet,B,21166080,25,21166105,CON24hoursNA,24hoursCON,1730,24hours CON NA 1730 diet B 1,1
775,24hours CON NA 1732 diet B 1,24hours,CON,NA,Acetobacter,diet,B,3052800,0,3052800,CON24hoursNA,24hoursCON,1732,24hours CON NA 1732 diet B 1,1
776,24hours CON NA 1734 diet B 1,24hours,CON,NA,Acetobacter,diet,B,52101120,0,52101120,CON24hoursNA,24hoursCON,1734,24hours CON NA 1734 diet B 1,1
777,24hours CON NA 1736 diet B 1,24hours,CON,NA,Acetobacter,diet,B,29306880,0,29306880,CON24hoursNA,24hoursCON,1736,24hours CON NA 1736 diet B 1,1
778,24hours CON NA 1738 diet B 1,24hours,CON,NA,Acetobacter,diet,B,2645760,0,2645760,CON24hoursNA,24hoursCON,1738,24hours CON NA 1738 diet B 1,1
779,24hours CON NA 1740 diet B 2,24hours,CON,NA,Acetobacter,diet,B,7326720,54060,7380780,CON24hoursNA,24hoursCON,1740,24hours CON NA 1740 diet B 2,2
780,24hours CON NA 1742 diet B 2,24hours,CON,NA,Acetobacter,diet,B,100945920,0,100945920,CON24hoursNA,24hoursCON,1742,24hours CON NA 1742 diet B 2,2
781,24hours CON NA 1746 diet B 2,24hours,CON,NA,Acetobacter,diet,B,2849280,0,2849280,CON24hoursNA,24hoursCON,1746,24hours CON NA 1746 diet B 2,2
782,24hours CON NA 1748 diet B 2,24hours,CON,NA,Acetobacter,diet,B,7123200,0,7123200,CON24hoursNA,24hoursCON,1748,24hours CON NA 1748 diet B 2,2
783,24hours CON NA 1750 diet B 3,24hours,CON,NA,Acetobacter,diet,B,35819520,0,35819520,CON24hoursNA,24hoursCON,1750,24hours CON NA 1750 diet B 3,3
784,24hours CON NA 1753 diet B 3,24hours,CON,NA,Acetobacter,diet,B,22794240,0,22794240,CON24hoursNA,24hoursCON,1753,24hours CON NA 1753 diet B 3,3
785,24hours CON NA 1755 diet B 3,24hours,CON,NA,Acetobacter,diet,B,29306880,0,29306880,CON24hoursNA,24hoursCON,1755,24hours CON NA 1755 diet B 3,3
786,24hours CON NA 1757 diet B 3,24hours,CON,NA,Acetobacter,diet,B,40704000,0,40704000,CON24hoursNA,24hoursCON,1757,24hours CON NA 1757 diet B 3,3
