vial,treatment,sex,replicate,exp,vialnum,variable,event,experiment,vial_rep
CON F 1_9,CON,F,1_9,1,9,1.2,1,expA,CON_1_9
CON F 1_9,CON,F,1_9,1,9,1.2,1,expA,CON_1_9
CON F 1_9,CON,F,1_9,1,9,1.2,1,expA,CON_1_9
CON F 1_10,CON,F,1_10,1,10,1.2,1,expA,CON_1_10
CON F 1_10,CON,F,1_10,1,10,1.2,1,expA,CON_1_10
CON F 1_10,CON,F,1_10,1,10,1.2,1,expA,CON_1_10
CON F 1_10,CON,F,1_10,1,10,1.2,1,expA,CON_1_10
CON M 1_1,CON,M,1_1,1,1,1.2,1,expA,CON_1_1
CON M 1_1,CON,M,1_1,1,1,1.2,1,expA,CON_1_1
CON M 1_2,CON,M,1_2,1,2,1.2,1,expA,CON_1_2
CON M 1_3,CON,M,1_3,1,3,1.2,1,expA,CON_1_3
CON M 1_3,CON,M,1_3,1,3,1.2,1,expA,CON_1_3
CON M 1_3,CON,M,1_3,1,3,1.2,1,expA,CON_1_3
CON M 1_3,CON,M,1_3,1,3,1.2,1,expA,CON_1_3
CON M 1_4,CON,M,1_4,1,4,1.2,1,expA,CON_1_4
CON M 1_4,CON,M,1_4,1,4,1.2,1,expA,CON_1_4
CON M 1_4,CON,M,1_4,1,4,1.2,1,expA,CON_1_4
CON M 1_5,CON,M,1_5,1,5,1.2,1,expA,CON_1_5
CON M 1_5,CON,M,1_5,1,5,1.2,1,expA,CON_1_5
CON M 1_5,CON,M,1_5,1,5,1.2,1,expA,CON_1_5
CON M 1_6,CON,M,1_6,1,6,1.2,1,expA,CON_1_6
CON M 1_6,CON,M,1_6,1,6,1.2,1,expA,CON_1_6
CON M 1_7,CON,M,1_7,1,7,1.2,1,expA,CON_1_7
CON M 1_7,CON,M,1_7,1,7,1.2,1,expA,CON_1_7
CON M 1_8,CON,M,1_8,1,8,1.2,1,expA,CON_1_8
CON M 1_8,CON,M,1_8,1,8,1.2,1,expA,CON_1_8
CON M 1_8,CON,M,1_8,1,8,1.2,1,expA,CON_1_8
CON M 1_9,CON,M,1_9,1,9,1.2,1,expA,CON_1_9
CON M 1_9,CON,M,1_9,1,9,1.2,1,expA,CON_1_9
CON M 1_9,CON,M,1_9,1,9,1.2,1,expA,CON_1_9
CON M 1_9,CON,M,1_9,1,9,1.2,1,expA,CON_1_9
CON M 1_9,CON,M,1_9,1,9,1.2,1,expA,CON_1_9
CON M 1_10,CON,M,1_10,1,10,1.2,1,expA,CON_1_10
CON M 1_10,CON,M,1_10,1,10,1.2,1,expA,CON_1_10
CH F 1_1,CH,F,1_1,1,1,1.3,1,expA,CH_1_1
CH F 1_2,CH,F,1_2,1,2,1.3,1,expA,CH_1_2
CH F 1_3,CH,F,1_3,1,3,1.3,1,expA,CH_1_3
CH F 1_4,CH,F,1_4,1,4,1.3,1,expA,CH_1_4
CH F 1_4,CH,F,1_4,1,4,1.3,1,expA,CH_1_4
CH F 1_4,CH,F,1_4,1,4,1.3,1,expA,CH_1_4
CH F 1_4,CH,F,1_4,1,4,1.3,1,expA,CH_1_4
CH F 1_4,CH,F,1_4,1,4,1.3,1,expA,CH_1_4
CH F 1_5,CH,F,1_5,1,5,1.3,1,expA,CH_1_5
CH F 1_6,CH,F,1_6,1,6,1.3,1,expA,CH_1_6
CH F 1_9,CH,F,1_9,1,9,1.3,1,expA,CH_1_9
CH F 1_9,CH,F,1_9,1,9,1.3,1,expA,CH_1_9
CH M 1_1,CH,M,1_1,1,1,1.3,1,expA,CH_1_1
CH M 1_1,CH,M,1_1,1,1,1.3,1,expA,CH_1_1
CH M 1_1,CH,M,1_1,1,1,1.3,1,expA,CH_1_1
CH M 1_1,CH,M,1_1,1,1,1.3,1,expA,CH_1_1
CH M 1_1,CH,M,1_1,1,1,1.3,1,expA,CH_1_1
CH M 1_2,CH,M,1_2,1,2,1.3,1,expA,CH_1_2
CH M 1_3,CH,M,1_3,1,3,1.3,1,expA,CH_1_3
CH M 1_3,CH,M,1_3,1,3,1.3,1,expA,CH_1_3
CH M 1_5,CH,M,1_5,1,5,1.3,1,expA,CH_1_5
CH M 1_6,CH,M,1_6,1,6,1.3,1,expA,CH_1_6
CH M 1_6,CH,M,1_6,1,6,1.3,1,expA,CH_1_6
CH M 1_6,CH,M,1_6,1,6,1.3,1,expA,CH_1_6
CH M 1_7,CH,M,1_7,1,7,1.3,1,expA,CH_1_7
CH M 1_7,CH,M,1_7,1,7,1.3,1,expA,CH_1_7
CH M 1_7,CH,M,1_7,1,7,1.3,1,expA,CH_1_7
CH M 1_7,CH,M,1_7,1,7,1.3,1,expA,CH_1_7
CH M 1_9,CH,M,1_9,1,9,1.3,1,expA,CH_1_9
CH M 1_10,CH,M,1_10,1,10,1.3,1,expA,CH_1_10
CON F 1_1,CON,F,1_1,1,1,1.3,1,expA,CON_1_1
CON F 1_1,CON,F,1_1,1,1,1.3,1,expA,CON_1_1
CON F 1_1,CON,F,1_1,1,1,1.3,1,expA,CON_1_1
CON F 1_1,CON,F,1_1,1,1,1.3,1,expA,CON_1_1
CON F 1_2,CON,F,1_2,1,2,1.3,1,expA,CON_1_2
CON F 1_2,CON,F,1_2,1,2,1.3,1,expA,CON_1_2
CON F 1_2,CON,F,1_2,1,2,1.3,1,expA,CON_1_2
CON F 1_2,CON,F,1_2,1,2,1.3,1,expA,CON_1_2
CON F 1_3,CON,F,1_3,1,3,1.3,1,expA,CON_1_3
CON F 1_3,CON,F,1_3,1,3,1.3,1,expA,CON_1_3
CON F 1_3,CON,F,1_3,1,3,1.3,1,expA,CON_1_3
CON F 1_4,CON,F,1_4,1,4,1.3,1,expA,CON_1_4
CON F 1_4,CON,F,1_4,1,4,1.3,1,expA,CON_1_4
CON F 1_4,CON,F,1_4,1,4,1.3,1,expA,CON_1_4
CON F 1_5,CON,F,1_5,1,5,1.3,1,expA,CON_1_5
CON F 1_5,CON,F,1_5,1,5,1.3,1,expA,CON_1_5
CON F 1_6,CON,F,1_6,1,6,1.3,1,expA,CON_1_6
CON F 1_7,CON,F,1_7,1,7,1.3,1,expA,CON_1_7
CON F 1_7,CON,F,1_7,1,7,1.3,1,expA,CON_1_7
CON F 1_7,CON,F,1_7,1,7,1.3,1,expA,CON_1_7
CON F 1_7,CON,F,1_7,1,7,1.3,1,expA,CON_1_7
CON F 1_8,CON,F,1_8,1,8,1.3,1,expA,CON_1_8
CON F 1_8,CON,F,1_8,1,8,1.3,1,expA,CON_1_8
CON F 1_8,CON,F,1_8,1,8,1.3,1,expA,CON_1_8
CON F 1_8,CON,F,1_8,1,8,1.3,1,expA,CON_1_8
CON F 1_8,CON,F,1_8,1,8,1.3,1,expA,CON_1_8
CON F 1_9,CON,F,1_9,1,9,1.3,1,expA,CON_1_9
CON F 1_9,CON,F,1_9,1,9,1.3,1,expA,CON_1_9
CON F 1_10,CON,F,1_10,1,10,1.3,1,expA,CON_1_10
CON F 1_10,CON,F,1_10,1,10,1.3,1,expA,CON_1_10
CON F 1_10,CON,F,1_10,1,10,1.3,1,expA,CON_1_10
CON M 1_2,CON,M,1_2,1,2,1.3,1,expA,CON_1_2
CON M 1_3,CON,M,1_3,1,3,1.3,1,expA,CON_1_3
CON M 1_4,CON,M,1_4,1,4,1.3,1,expA,CON_1_4
CON M 1_9,CON,M,1_9,1,9,1.3,1,expA,CON_1_9
CON M 1_9,CON,M,1_9,1,9,1.3,1,expA,CON_1_9
CON M 1_9,CON,M,1_9,1,9,1.3,1,expA,CON_1_9
CH F 1_1,CH,F,1_1,1,1,1.5,1,expA,CH_1_1
CH F 1_1,CH,F,1_1,1,1,1.5,1,expA,CH_1_1
CH F 1_2,CH,F,1_2,1,2,1.5,1,expA,CH_1_2
CH F 1_2,CH,F,1_2,1,2,1.5,1,expA,CH_1_2
CH F 1_3,CH,F,1_3,1,3,1.5,1,expA,CH_1_3
CH F 1_3,CH,F,1_3,1,3,1.5,1,expA,CH_1_3
CH F 1_4,CH,F,1_4,1,4,1.5,1,expA,CH_1_4
CH F 1_5,CH,F,1_5,1,5,1.5,1,expA,CH_1_5
CH F 1_5,CH,F,1_5,1,5,1.5,1,expA,CH_1_5
CH F 1_6,CH,F,1_6,1,6,1.5,1,expA,CH_1_6
CH F 1_6,CH,F,1_6,1,6,1.5,1,expA,CH_1_6
CH F 1_6,CH,F,1_6,1,6,1.5,1,expA,CH_1_6
CH F 1_7,CH,F,1_7,1,7,1.5,1,expA,CH_1_7
CH F 1_7,CH,F,1_7,1,7,1.5,1,expA,CH_1_7
CH F 1_7,CH,F,1_7,1,7,1.5,1,expA,CH_1_7
CH F 1_7,CH,F,1_7,1,7,1.5,1,expA,CH_1_7
CH F 1_8,CH,F,1_8,1,8,1.5,1,expA,CH_1_8
CH F 1_8,CH,F,1_8,1,8,1.5,1,expA,CH_1_8
CH F 1_8,CH,F,1_8,1,8,1.5,1,expA,CH_1_8
CH F 1_8,CH,F,1_8,1,8,1.5,1,expA,CH_1_8
CH F 1_10,CH,F,1_10,1,10,1.5,1,expA,CH_1_10
CH M 1_1,CH,M,1_1,1,1,1.5,1,expA,CH_1_1
CH M 1_3,CH,M,1_3,1,3,1.5,1,expA,CH_1_3
CH M 1_6,CH,M,1_6,1,6,1.5,1,expA,CH_1_6
CON F 1_1,CON,F,1_1,1,1,1.5,1,expA,CON_1_1
CON F 1_1,CON,F,1_1,1,1,1.5,1,expA,CON_1_1
CON F 1_2,CON,F,1_2,1,2,1.5,1,expA,CON_1_2
CON F 1_2,CON,F,1_2,1,2,1.5,1,expA,CON_1_2
CON F 1_3,CON,F,1_3,1,3,1.5,1,expA,CON_1_3
CON F 1_3,CON,F,1_3,1,3,1.5,1,expA,CON_1_3
CON F 1_3,CON,F,1_3,1,3,1.5,1,expA,CON_1_3
CON F 1_5,CON,F,1_5,1,5,1.5,1,expA,CON_1_5
CON F 1_6,CON,F,1_6,1,6,1.5,1,expA,CON_1_6
CON F 1_6,CON,F,1_6,1,6,1.5,1,expA,CON_1_6
CON F 1_6,CON,F,1_6,1,6,1.5,1,expA,CON_1_6
CON F 1_7,CON,F,1_7,1,7,1.5,1,expA,CON_1_7
CON F 1_7,CON,F,1_7,1,7,1.5,1,expA,CON_1_7
CON F 1_8,CON,F,1_8,1,8,1.5,1,expA,CON_1_8
CON F 1_8,CON,F,1_8,1,8,1.5,1,expA,CON_1_8
CON F 1_9,CON,F,1_9,1,9,1.5,1,expA,CON_1_9
CON F 1_9,CON,F,1_9,1,9,1.5,1,expA,CON_1_9
CH F 1_1,CH,F,1_1,1,1,1.8,1,expA,CH_1_1
CH F 1_1,CH,F,1_1,1,1,1.8,1,expA,CH_1_1
CH F 1_2,CH,F,1_2,1,2,1.8,1,expA,CH_1_2
CH F 1_2,CH,F,1_2,1,2,1.8,1,expA,CH_1_2
CH F 1_2,CH,F,1_2,1,2,1.8,1,expA,CH_1_2
CH F 1_3,CH,F,1_3,1,3,1.8,1,expA,CH_1_3
CH F 1_3,CH,F,1_3,1,3,1.8,1,expA,CH_1_3
CH F 1_3,CH,F,1_3,1,3,1.8,1,expA,CH_1_3
CH F 1_3,CH,F,1_3,1,3,1.8,1,expA,CH_1_3
CH F 1_4,CH,F,1_4,1,4,1.8,1,expA,CH_1_4
CH F 1_5,CH,F,1_5,1,5,1.8,1,expA,CH_1_5
CH F 1_5,CH,F,1_5,1,5,1.8,1,expA,CH_1_5
CH F 1_6,CH,F,1_6,1,6,1.8,1,expA,CH_1_6
CH F 1_6,CH,F,1_6,1,6,1.8,1,expA,CH_1_6
CH F 1_6,CH,F,1_6,1,6,1.8,1,expA,CH_1_6
CH F 1_7,CH,F,1_7,1,7,1.8,1,expA,CH_1_7
CH F 1_8,CH,F,1_8,1,8,1.8,1,expA,CH_1_8
CH F 1_9,CH,F,1_9,1,9,1.8,1,expA,CH_1_9
CH F 1_9,CH,F,1_9,1,9,1.8,1,expA,CH_1_9
CH F 1_9,CH,F,1_9,1,9,1.8,1,expA,CH_1_9
CH F 1_9,CH,F,1_9,1,9,1.8,1,expA,CH_1_9
CH F 1_9,CH,F,1_9,1,9,1.8,1,expA,CH_1_9
CH F 1_9,CH,F,1_9,1,9,1.8,1,expA,CH_1_9
CH F 1_10,CH,F,1_10,1,10,1.8,1,expA,CH_1_10
CH F 1_10,CH,F,1_10,1,10,1.8,1,expA,CH_1_10
CH F 1_10,CH,F,1_10,1,10,1.8,1,expA,CH_1_10
