vial,treatment,sex,replicate,exp,vialnum,variable,event,experiment,vial_rep
CON M 2_9,CON,M,2_9,2,9,0.8,1,expB,CON_2_9
CON M 2_9,CON,M,2_9,2,9,0.8,1,expB,CON_2_9
CON M 2_9,CON,M,2_9,2,9,0.8,1,expB,CON_2_9
CON M 2_10,CON,M,2_10,2,10,0.8,1,expB,CON_2_10
CON M 2_10,CON,M,2_10,2,10,0.8,1,expB,CON_2_10
CON M 2_10,CON,M,2_10,2,10,0.8,1,expB,CON_2_10
CON M 2_10,CON,M,2_10,2,10,0.8,1,expB,CON_2_10
CH F 2_1,CH,F,2_1,2,1,1,1,expB,CH_2_1
CH F 2_1,CH,F,2_1,2,1,1,1,expB,CH_2_1
CH F 2_2,CH,F,2_2,2,2,1,1,expB,CH_2_2
CH M 2_1,CH,M,2_1,2,1,1,1,expB,CH_2_1
CH M 2_3,CH,M,2_3,2,3,1,1,expB,CH_2_3
CH M 2_3,CH,M,2_3,2,3,1,1,expB,CH_2_3
CH M 2_3,CH,M,2_3,2,3,1,1,expB,CH_2_3
CH M 2_3,CH,M,2_3,2,3,1,1,expB,CH_2_3
CH M 2_4,CH,M,2_4,2,4,1,1,expB,CH_2_4
CH M 2_4,CH,M,2_4,2,4,1,1,expB,CH_2_4
CH M 2_5,CH,M,2_5,2,5,1,1,expB,CH_2_5
CH M 2_5,CH,M,2_5,2,5,1,1,expB,CH_2_5
CH M 2_5,CH,M,2_5,2,5,1,1,expB,CH_2_5
CH M 2_6,CH,M,2_6,2,6,1,1,expB,CH_2_6
CH M 2_6,CH,M,2_6,2,6,1,1,expB,CH_2_6
CH M 2_8,CH,M,2_8,2,8,1,1,expB,CH_2_8
CH M 2_8,CH,M,2_8,2,8,1,1,expB,CH_2_8
CH M 2_8,CH,M,2_8,2,8,1,1,expB,CH_2_8
CH M 2_8,CH,M,2_8,2,8,1,1,expB,CH_2_8
CH M 2_8,CH,M,2_8,2,8,1,1,expB,CH_2_8
CH M 2_9,CH,M,2_9,2,9,1,1,expB,CH_2_9
CH M 2_9,CH,M,2_9,2,9,1,1,expB,CH_2_9
CH M 2_9,CH,M,2_9,2,9,1,1,expB,CH_2_9
CH M 2_10,CH,M,2_10,2,10,1,1,expB,CH_2_10
CH M 2_10,CH,M,2_10,2,10,1,1,expB,CH_2_10
CON F 2_1,CON,F,2_1,2,1,1,1,expB,CON_2_1
CON F 2_3,CON,F,2_3,2,3,1,1,expB,CON_2_3
CON F 2_4,CON,F,2_4,2,4,1,1,expB,CON_2_4
CON F 2_6,CON,F,2_6,2,6,1,1,expB,CON_2_6
CON F 2_6,CON,F,2_6,2,6,1,1,expB,CON_2_6
CON F 2_8,CON,F,2_8,2,8,1,1,expB,CON_2_8
CON F 2_9,CON,F,2_9,2,9,1,1,expB,CON_2_9
CON F 2_9,CON,F,2_9,2,9,1,1,expB,CON_2_9
CON M 2_2,CON,M,2_2,2,2,1,1,expB,CON_2_2
CON M 2_2,CON,M,2_2,2,2,1,1,expB,CON_2_2
CON M 2_4,CON,M,2_4,2,4,1,1,expB,CON_2_4
CON M 2_4,CON,M,2_4,2,4,1,1,expB,CON_2_4
CON M 2_4,CON,M,2_4,2,4,1,1,expB,CON_2_4
CON M 2_5,CON,M,2_5,2,5,1,1,expB,CON_2_5
CON M 2_5,CON,M,2_5,2,5,1,1,expB,CON_2_5
CON M 2_5,CON,M,2_5,2,5,1,1,expB,CON_2_5
CON M 2_6,CON,M,2_6,2,6,1,1,expB,CON_2_6
CON M 2_8,CON,M,2_8,2,8,1,1,expB,CON_2_8
CON M 2_9,CON,M,2_9,2,9,1,1,expB,CON_2_9
CON M 2_10,CON,M,2_10,2,10,1,1,expB,CON_2_10
CON M 2_10,CON,M,2_10,2,10,1,1,expB,CON_2_10
CON M 2_10,CON,M,2_10,2,10,1,1,expB,CON_2_10
CH F 2_1,CH,F,2_1,2,1,1.2,1,expB,CH_2_1
CH F 2_1,CH,F,2_1,2,1,1.2,1,expB,CH_2_1
CH F 2_2,CH,F,2_2,2,2,1.2,1,expB,CH_2_2
CH F 2_2,CH,F,2_2,2,2,1.2,1,expB,CH_2_2
CH F 2_2,CH,F,2_2,2,2,1.2,1,expB,CH_2_2
CH F 2_2,CH,F,2_2,2,2,1.2,1,expB,CH_2_2
CH F 2_3,CH,F,2_3,2,3,1.2,1,expB,CH_2_3
CH F 2_3,CH,F,2_3,2,3,1.2,1,expB,CH_2_3
CH F 2_3,CH,F,2_3,2,3,1.2,1,expB,CH_2_3
CH F 2_3,CH,F,2_3,2,3,1.2,1,expB,CH_2_3
CH F 2_4,CH,F,2_4,2,4,1.2,1,expB,CH_2_4
CH F 2_5,CH,F,2_5,2,5,1.2,1,expB,CH_2_5
CH F 2_5,CH,F,2_5,2,5,1.2,1,expB,CH_2_5
CH F 2_6,CH,F,2_6,2,6,1.2,1,expB,CH_2_6
CH F 2_6,CH,F,2_6,2,6,1.2,1,expB,CH_2_6
CH F 2_6,CH,F,2_6,2,6,1.2,1,expB,CH_2_6
CH F 2_7,CH,F,2_7,2,7,1.2,1,expB,CH_2_7
CH F 2_7,CH,F,2_7,2,7,1.2,1,expB,CH_2_7
CH F 2_7,CH,F,2_7,2,7,1.2,1,expB,CH_2_7
CH F 2_9,CH,F,2_9,2,9,1.2,1,expB,CH_2_9
CH F 2_9,CH,F,2_9,2,9,1.2,1,expB,CH_2_9
CH F 2_9,CH,F,2_9,2,9,1.2,1,expB,CH_2_9
CH F 2_9,CH,F,2_9,2,9,1.2,1,expB,CH_2_9
CH F 2_10,CH,F,2_10,2,10,1.2,1,expB,CH_2_10
CH M 2_2,CH,M,2_2,2,2,1.2,1,expB,CH_2_2
CH M 2_2,CH,M,2_2,2,2,1.2,1,expB,CH_2_2
CH M 2_4,CH,M,2_4,2,4,1.2,1,expB,CH_2_4
CH M 2_4,CH,M,2_4,2,4,1.2,1,expB,CH_2_4
CH M 2_6,CH,M,2_6,2,6,1.2,1,expB,CH_2_6
CH M 2_6,CH,M,2_6,2,6,1.2,1,expB,CH_2_6
CH M 2_8,CH,M,2_8,2,8,1.2,1,expB,CH_2_8
CH M 2_8,CH,M,2_8,2,8,1.2,1,expB,CH_2_8
CH M 2_9,CH,M,2_9,2,9,1.2,1,expB,CH_2_9
CON F 2_1,CON,F,2_1,2,1,1.2,1,expB,CON_2_1
CON F 2_1,CON,F,2_1,2,1,1.2,1,expB,CON_2_1
CON F 2_1,CON,F,2_1,2,1,1.2,1,expB,CON_2_1
CON F 2_1,CON,F,2_1,2,1,1.2,1,expB,CON_2_1
CON F 2_2,CON,F,2_2,2,2,1.2,1,expB,CON_2_2
CON F 2_2,CON,F,2_2,2,2,1.2,1,expB,CON_2_2
CON F 2_2,CON,F,2_2,2,2,1.2,1,expB,CON_2_2
CON F 2_3,CON,F,2_3,2,3,1.2,1,expB,CON_2_3
CON F 2_3,CON,F,2_3,2,3,1.2,1,expB,CON_2_3
CON F 2_4,CON,F,2_4,2,4,1.2,1,expB,CON_2_4
CON F 2_4,CON,F,2_4,2,4,1.2,1,expB,CON_2_4
CON F 2_5,CON,F,2_5,2,5,1.2,1,expB,CON_2_5
CON F 2_5,CON,F,2_5,2,5,1.2,1,expB,CON_2_5
CON F 2_5,CON,F,2_5,2,5,1.2,1,expB,CON_2_5
CON F 2_6,CON,F,2_6,2,6,1.2,1,expB,CON_2_6
CON F 2_6,CON,F,2_6,2,6,1.2,1,expB,CON_2_6
CON F 2_7,CON,F,2_7,2,7,1.2,1,expB,CON_2_7
CON F 2_7,CON,F,2_7,2,7,1.2,1,expB,CON_2_7
CON F 2_7,CON,F,2_7,2,7,1.2,1,expB,CON_2_7
CON F 2_7,CON,F,2_7,2,7,1.2,1,expB,CON_2_7
CON F 2_8,CON,F,2_8,2,8,1.2,1,expB,CON_2_8
CON F 2_8,CON,F,2_8,2,8,1.2,1,expB,CON_2_8
CON F 2_8,CON,F,2_8,2,8,1.2,1,expB,CON_2_8
CON F 2_9,CON,F,2_9,2,9,1.2,1,expB,CON_2_9
CON F 2_9,CON,F,2_9,2,9,1.2,1,expB,CON_2_9
CON F 2_10,CON,F,2_10,2,10,1.2,1,expB,CON_2_10
CON F 2_10,CON,F,2_10,2,10,1.2,1,expB,CON_2_10
CON F 2_10,CON,F,2_10,2,10,1.2,1,expB,CON_2_10
CON F 2_10,CON,F,2_10,2,10,1.2,1,expB,CON_2_10
CON F 2_10,CON,F,2_10,2,10,1.2,1,expB,CON_2_10
CON M 2_1,CON,M,2_1,2,1,1.2,1,expB,CON_2_1
CON M 2_5,CON,M,2_5,2,5,1.2,1,expB,CON_2_5
CON M 2_8,CON,M,2_8,2,8,1.2,1,expB,CON_2_8
CON M 2_10,CON,M,2_10,2,10,1.2,1,expB,CON_2_10
CH F 2_2,CH,F,2_2,2,2,1.3,1,expB,CH_2_2
CH F 2_3,CH,F,2_3,2,3,1.3,1,expB,CH_2_3
CH F 2_3,CH,F,2_3,2,3,1.3,1,expB,CH_2_3
CH F 2_4,CH,F,2_4,2,4,1.3,1,expB,CH_2_4
CH F 2_4,CH,F,2_4,2,4,1.3,1,expB,CH_2_4
CH F 2_4,CH,F,2_4,2,4,1.3,1,expB,CH_2_4
CH F 2_5,CH,F,2_5,2,5,1.3,1,expB,CH_2_5
CH F 2_5,CH,F,2_5,2,5,1.3,1,expB,CH_2_5
CH F 2_6,CH,F,2_6,2,6,1.3,1,expB,CH_2_6
CH F 2_6,CH,F,2_6,2,6,1.3,1,expB,CH_2_6
CH F 2_7,CH,F,2_7,2,7,1.3,1,expB,CH_2_7
CH F 2_8,CH,F,2_8,2,8,1.3,1,expB,CH_2_8
CH F 2_8,CH,F,2_8,2,8,1.3,1,expB,CH_2_8
CH F 2_9,CH,F,2_9,2,9,1.3,1,expB,CH_2_9
CH F 2_9,CH,F,2_9,2,9,1.3,1,expB,CH_2_9
CH F 2_10,CH,F,2_10,2,10,1.3,1,expB,CH_2_10
CH F 2_10,CH,F,2_10,2,10,1.3,1,expB,CH_2_10
CH F 2_10,CH,F,2_10,2,10,1.3,1,expB,CH_2_10
CH M 2_4,CH,M,2_4,2,4,1.3,1,expB,CH_2_4
CH M 2_6,CH,M,2_6,2,6,1.3,1,expB,CH_2_6
CH M 2_6,CH,M,2_6,2,6,1.3,1,expB,CH_2_6
CON F 2_1,CON,F,2_1,2,1,1.3,1,expB,CON_2_1
CON F 2_2,CON,F,2_2,2,2,1.3,1,expB,CON_2_2
CON F 2_2,CON,F,2_2,2,2,1.3,1,expB,CON_2_2
CON F 2_2,CON,F,2_2,2,2,1.3,1,expB,CON_2_2
CON F 2_2,CON,F,2_2,2,2,1.3,1,expB,CON_2_2
CON F 2_4,CON,F,2_4,2,4,1.3,1,expB,CON_2_4
CON F 2_4,CON,F,2_4,2,4,1.3,1,expB,CON_2_4
CON F 2_4,CON,F,2_4,2,4,1.3,1,expB,CON_2_4
CON F 2_5,CON,F,2_5,2,5,1.3,1,expB,CON_2_5
CON F 2_5,CON,F,2_5,2,5,1.3,1,expB,CON_2_5
CON F 2_5,CON,F,2_5,2,5,1.3,1,expB,CON_2_5
CON F 2_6,CON,F,2_6,2,6,1.3,1,expB,CON_2_6
CON F 2_7,CON,F,2_7,2,7,1.3,1,expB,CON_2_7
CON F 2_7,CON,F,2_7,2,7,1.3,1,expB,CON_2_7
CON F 2_7,CON,F,2_7,2,7,1.3,1,expB,CON_2_7
CON F 2_8,CON,F,2_8,2,8,1.3,1,expB,CON_2_8
CON F 2_9,CON,F,2_9,2,9,1.3,1,expB,CON_2_9
CON F 2_9,CON,F,2_9,2,9,1.3,1,expB,CON_2_9
CON F 2_10,CON,F,2_10,2,10,1.3,1,expB,CON_2_10
CON F 2_10,CON,F,2_10,2,10,1.3,1,expB,CON_2_10
CH F 2_1,CH,F,2_1,2,1,1.5,1,expB,CH_2_1
CH F 2_1,CH,F,2_1,2,1,1.5,1,expB,CH_2_1
CH F 2_1,CH,F,2_1,2,1,1.5,1,expB,CH_2_1
CH F 2_2,CH,F,2_2,2,2,1.5,1,expB,CH_2_2
CH F 2_3,CH,F,2_3,2,3,1.5,1,expB,CH_2_3
CH F 2_4,CH,F,2_4,2,4,1.5,1,expB,CH_2_4
CH F 2_6,CH,F,2_6,2,6,1.5,1,expB,CH_2_6
CH F 2_7,CH,F,2_7,2,7,1.5,1,expB,CH_2_7
CH F 2_8,CH,F,2_8,2,8,1.5,1,expB,CH_2_8
CH F 2_8,CH,F,2_8,2,8,1.5,1,expB,CH_2_8
CH F 2_8,CH,F,2_8,2,8,1.5,1,expB,CH_2_8
CH F 2_9,CH,F,2_9,2,9,1.5,1,expB,CH_2_9
CH F 2_10,CH,F,2_10,2,10,1.5,1,expB,CH_2_10
CH F 2_10,CH,F,2_10,2,10,1.5,1,expB,CH_2_10
CON F 2_1,CON,F,2_1,2,1,1.5,1,expB,CON_2_1
CON F 2_4,CON,F,2_4,2,4,1.5,1,expB,CON_2_4
CON F 2_5,CON,F,2_5,2,5,1.5,1,expB,CON_2_5
CH F 2_3,CH,F,2_3,2,3,1.8,1,expB,CH_2_3
CH F 2_4,CH,F,2_4,2,4,1.8,1,expB,CH_2_4
CH F 2_5,CH,F,2_5,2,5,1.8,1,expB,CH_2_5
CH F 2_5,CH,F,2_5,2,5,1.8,1,expB,CH_2_5
CH F 2_5,CH,F,2_5,2,5,1.8,1,expB,CH_2_5
CH F 2_6,CH,F,2_6,2,6,1.8,1,expB,CH_2_6
CH F 2_6,CH,F,2_6,2,6,1.8,1,expB,CH_2_6
CH F 2_7,CH,F,2_7,2,7,1.8,1,expB,CH_2_7
CH F 2_7,CH,F,2_7,2,7,1.8,1,expB,CH_2_7
CH F 2_8,CH,F,2_8,2,8,1.8,1,expB,CH_2_8
CH M 2_7,CH,M,2_7,2,7,1.8,1,expB,CH_2_7
CON F 2_10,CON,F,2_10,2,10,1.8,1,expB,CON_2_10
CH F 2_4,CH,F,2_4,2,4,2,1,expB,CH_2_4
