egg_count,Day,geography,treatment,Replicate,plate side,experiment,Expt,SortOrder,code,vialnum,repexp,tg
4,1,Pennsylvania,Control,#3,Lactobacillus,B,Expt2,224,1 Pennsylvania Control #3 B Expt2,1 Pennsylvania Control #3 B Expt2,1 Pennsylvania Control #3 B Expt2,Control.Pennsylvania
7,1,Pennsylvania,Control,#1,Acetobacter,C,Expt2,225,1 Pennsylvania Control #1 C Expt2,1 Pennsylvania Control #1 C Expt2,1 Pennsylvania Control #1 C Expt2,Control.Pennsylvania
17,1,Pennsylvania,Control,#1,Lactobacillus,C,Expt2,226,1 Pennsylvania Control #1 C Expt2,1 Pennsylvania Control #1 C Expt2,1 Pennsylvania Control #1 C Expt2,Control.Pennsylvania
79,1,Pennsylvania,Control,#2,Acetobacter,C,Expt2,227,1 Pennsylvania Control #2 C Expt2,1 Pennsylvania Control #2 C Expt2,1 Pennsylvania Control #2 C Expt2,Control.Pennsylvania
60,1,Pennsylvania,Control,#2,Lactobacillus,C,Expt2,228,1 Pennsylvania Control #2 C Expt2,1 Pennsylvania Control #2 C Expt2,1 Pennsylvania Control #2 C Expt2,Control.Pennsylvania
271,2,Maine,Choice,#1,Acetobacter,A,Expt2,229,2 Maine Choice #1 A Expt2,2 Maine Choice #1 A Expt2,2 Maine Choice #1 A Expt2,Choice.Maine
52,2,Maine,Choice,#1,Lactobacillus,A,Expt2,230,2 Maine Choice #1 A Expt2,2 Maine Choice #1 A Expt2,2 Maine Choice #1 A Expt2,Choice.Maine
266,2,Maine,Choice,#2,Acetobacter,A,Expt2,231,2 Maine Choice #2 A Expt2,2 Maine Choice #2 A Expt2,2 Maine Choice #2 A Expt2,Choice.Maine
165,2,Maine,Choice,#2,Lactobacillus,A,Expt2,232,2 Maine Choice #2 A Expt2,2 Maine Choice #2 A Expt2,2 Maine Choice #2 A Expt2,Choice.Maine
122,2,Maine,Choice,#1,Acetobacter,B,Expt2,233,2 Maine Choice #1 B Expt2,2 Maine Choice #1 B Expt2,2 Maine Choice #1 B Expt2,Choice.Maine
45,2,Maine,Choice,#1,Lactobacillus,B,Expt2,234,2 Maine Choice #1 B Expt2,2 Maine Choice #1 B Expt2,2 Maine Choice #1 B Expt2,Choice.Maine
105,2,Maine,Choice,#2,Acetobacter,B,Expt2,235,2 Maine Choice #2 B Expt2,2 Maine Choice #2 B Expt2,2 Maine Choice #2 B Expt2,Choice.Maine
57,2,Maine,Choice,#2,Lactobacillus,B,Expt2,236,2 Maine Choice #2 B Expt2,2 Maine Choice #2 B Expt2,2 Maine Choice #2 B Expt2,Choice.Maine
174,2,Maine,Choice,#3,Acetobacter,B,Expt2,237,2 Maine Choice #3 B Expt2,2 Maine Choice #3 B Expt2,2 Maine Choice #3 B Expt2,Choice.Maine
137,2,Maine,Choice,#3,Lactobacillus,B,Expt2,238,2 Maine Choice #3 B Expt2,2 Maine Choice #3 B Expt2,2 Maine Choice #3 B Expt2,Choice.Maine
329,2,Maine,Choice,#1,Acetobacter,C,Expt2,239,2 Maine Choice #1 C Expt2,2 Maine Choice #1 C Expt2,2 Maine Choice #1 C Expt2,Choice.Maine
27,2,Maine,Choice,#1,Lactobacillus,C,Expt2,240,2 Maine Choice #1 C Expt2,2 Maine Choice #1 C Expt2,2 Maine Choice #1 C Expt2,Choice.Maine
