Position,code,Geography,Humidity,vialnum,Sex,PLATE,cfuA,cfuL,starved,exp,repexp,latitude,percL
D5,V-C-3-F,V,C,3,F,plate2,320000,89600,N,A,V-C-3-FA,1,0.21875
D7,H-C-1-F,H,C,1,F,plate2,51200,64000,N,A,H-C-1-FA,5,0.555555556
D8,H-C-3-F,H,C,3,F,plate2,115200,166400,N,A,H-C-3-FA,5,0.590909091
D9,PA-B-2-F,PA,B,2,F,plate2,140800,166400,N,A,PA-B-2-FA,3,0.541666667
D10,M-A-2-F,M,A,2,F,plate2,64000,102400,N,A,M-A-2-FA,2,0.615384615
D11,M-A-4-F,M,A,4,F,plate2,1600,9600,N,A,M-A-4-FA,2,0.857142857
E1,B-A-2-M,B,A,2,M,plate2,115200,166400,N,A,B-A-2-MA,7,0.590909091
E2,B-C-1-M,B,C,1,M,plate2,115200,128000,N,A,B-C-1-MA,7,0.526315789
E3,B-C-3-M,B,C,3,M,plate2,1000,2400,N,A,B-C-3-MA,7,0.705882353
E4,V-C-2-M,V,C,2,M,plate2,16000,11200,N,A,V-C-2-MA,1,0.411764706
E6,L-A-3-M,L,A,3,M,plate2,6400,11200,N,A,L-A-3-MA,4,0.636363636
E7,H-C-2-M,H,C,2,M,plate2,16000,19200,N,A,H-C-2-MA,5,0.545454545
E8,PA-B-1-M,PA,B,1,M,plate2,12800,28800,N,A,PA-B-1-MA,3,0.692307692
E9,PA-B-3-M,PA,B,3,M,plate2,35200,48000,N,A,PA-B-3-MA,3,0.576923077
E10,M-A-3-M,M,A,3,M,plate2,16000,40000,N,A,M-A-3-MA,2,0.714285714
F1,B-A-2-M,B,A,2,M,plate2,20800,6400,N,A,B-A-2-MA,7,0.235294118
F3,B-C-3-M,B,C,3,M,plate2,19200,19200,N,A,B-C-3-MA,7,0.5
F4,V-C-2-M,V,C,2,M,plate2,281600,256000,N,A,V-C-2-MA,1,0.476190476
F5,L-A-1-M,L,A,1,M,plate2,243200,115200,N,A,L-A-1-MA,4,0.321428571
F6,L-A-3-M,L,A,3,M,plate2,1600,9600,N,A,L-A-3-MA,4,0.857142857
F7,H-C-2-M,H,C,2,M,plate2,4800,19200,N,A,H-C-2-MA,5,0.8
F9,PA-B-3-M,PA,B,3,M,plate2,1600,16000,N,A,PA-B-3-MA,3,0.909090909
F10,M-A-3-M,M,A,3,M,plate2,16000,20800,N,A,M-A-3-MA,2,0.565217391
G1,B-A-2-F,B,A,2,F,plate2,1600,3400,N,A,B-A-2-FA,7,0.68
G2,B-C-1-F,B,C,1,F,plate2,38400,115200,N,A,B-C-1-FA,7,0.75
G4,V-C-2-F,V,C,2,F,plate2,11200,4800,N,A,V-C-2-FA,1,0.3
G5,L-A-1-F,L,A,1,F,plate2,12800,30400,N,A,L-A-1-FA,4,0.703703704
G6,L-A-3-F,L,A,3,F,plate2,2400,600,N,A,L-A-3-FA,4,0.2
